Code,Borough,share_qualified,share_unqualified
E09000002,Barking and Dagenham,26.9,13.9
E09000003,Barnet,50.4,6.1
E09000004,Bexley,27.2,8.6
E09000005,Brent,30.2,11.2
E09000006,Bromley,43.5,7.5
E09000007,Camden,55.2,8.5
E09000008,Croydon,36.7,8.9
E09000009,Ealing,47.1,11.1
E09000010,Enfield,36.8,8.7
E09000011,Greenwich,43.2,10.7
E09000012,Hackney,47.6,12.3
E09000013,Hammersmith and Fulham,56.4,11.2
E09000014,Haringey,50.4,7.7
E09000015,Harrow,43.3,7.5
E09000016,Havering,18.9,11.3
E09000017,Hillingdon,35.3,9.8
E09000018,Hounslow,47.3,8.1
E09000019,Islington,58.7,10.1
E09000020,Kensington and Chelsea,59.6,7.3
E09000021,Kingston upon Thames,45.8,7.4
E09000022,Lambeth,59.0,10.6
E09000023,Lewisham,49.0,10.1
E09000024,Merton,48.7,5.2
E09000025,Newham,39.2,13.6
E09000026,Redbridge,37.4,12.1
E09000027,Richmond upon Thames,55.2,4.1
E09000028,Southwark,53.4,10.3
E09000029,Sutton,35.8,5.2
E09000030,Tower Hamlets,46.2,13.9
E09000031,Waltham Forest,38.4,11.3
E09000032,Wandsworth,64.5,5.6
E09000033,Westminster,60.1,6.8
